Time,PriceImportElectricity,PriceExportElectricity,PriceHydrogen,TemperatureAmbient,HeatValue,HeatH2,HeatEl,HeatFC,HeatHP,HeatWasteEl,HeatWasteFC,HeatDemand1,HeatDemand2,HeatDemand3,HeatConsumption,HeatAvgConsumption,HeatSupply,HeatWaste,ElectricityDemand,LoadH2System,LoadElectrolyser,LoadCompressor,LoadHeatPump,ElectricitySupply,ElectricityFCGeneration,NetElectricity,H2Produced,H2FCUsed,H2Stored,H2Imported,H2Exported,TCons1,TCons2,TCons3,TConsAvg,TCons1Slack,TCons2Slack,TCons3Slack,HeatSlack,DateTime
27,0.1437449,0.013744899999999999,3.3,8.24,0.04245589349047672,0.0,0.0,0.0,30.0,0.0,0.0,15.79457260689156,2.352000000000007,11.853427393108431,30.0,10.0,30.0,0.0,8.571428571428571,0.0,0.0,0.0,8.571428571428571,0.0,0.0,8.571428571428571,0.0,0.0,12.420015095646615,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,2023-01-02 03:00:00
28,0.1541918,0.0241918,3.3,8.11,0.0440548,0.0,0.0,0.0,16.887539721136363,0.0,0.0,0.0,12.95469349165558,3.9328462294807816,16.88753972113636,5.629179907045454,16.887539721136363,0.0,4.825011348896104,0.0,0.0,0.0,4.825011348896104,0.0,0.0,4.825011348896104,0.0,0.0,12.420015095646615,0.0,0.0,22.439395576179912,20.0,21.724204185310548,21.387866587163487,0.0,0.0,0.0,0.0,2023-01-02 04:00:00
29,0.1773748,0.0473748,3.3,8.03,0.045713921990014096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,21.91933047852227,21.91933047852227,21.94378133677832,21.92748076460762,0.0,0.0,0.0,0.0,2023-01-02 05:00:00
30,0.20228440000000003,0.07228440000000001,3.3,8.15,0.047435527200420706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,21.415236919703947,21.415236919703947,21.438800368723573,21.423091402710487,0.0,0.0,0.0,0.0,2023-01-02 06:00:00
31,0.2389504,0.1089504,3.3,8.02,0.04922196877514422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,20.93379395182569,20.93379395182569,20.956502198869043,20.94136336750681,0.0,0.0,0.0,0.0,2023-01-02 07:00:00
32,0.2493391,0.1193391,3.3,7.65,0.051075688478482525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,20.46510610822598,20.46510610822598,20.48699019163637,20.47240080269611,0.0,0.0,0.0,0.0,2023-01-02 08:00:00
33,0.2521424,0.1221424,3.3,8.16,0.05299922003258695,6.992000000000001,0.0,6.992000000000001,0.0,0.0,0.0,2.3680000000000097,2.3680000000000097,2.2559999999999816,6.992000000000001,2.330666666666667,6.992000000000001,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,-20.0,0.0,0.818732601932209,12.420015095646615,0.835356190115507,0.0,20.0,20.0,20.021089831628068,20.007029943876024,0.0,0.0,0.0,0.0,2023-01-02 09:00:00
34,0.2534907,0.12349070000000001,3.3,8.93,0.05402901107256472,6.992000000000001,0.0,6.992000000000001,0.0,0.0,0.0,2.214000000000009,2.5639999999999823,2.214000000000009,6.992000000000001,2.330666666666667,6.992000000000001,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,-20.0,0.0,0.818732601932209,12.420015095646615,0.8353561901155077,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,2023-01-02 10:00:00
35,0.25170590000000004,0.1217059,3.3,9.98,0.05606376597712011,6.992000000000001,0.0,6.992000000000001,0.0,0.0,0.0,2.0039999999999996,1.6667027538051205,3.321297246194881,6.992000000000001,2.330666666666667,6.992000000000001,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,-20.0,0.0,0.818732601932209,12.420015095646615,0.8353561901155077,0.0,20.0,20.063513769025523,20.0,20.02117125634184,0.0,0.0,0.0,0.0,2023-01-02 11:00:00
36,0.2555471,0.1255471,3.3,12.4,0.05817515059299951,6.992000000000001,0.0,6.992000000000001,0.0,0.0,0.0,2.9063143125983637,2.9063143125983637,1.1793713748032728,6.992,2.3306666666666667,6.992000000000001,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,-20.0,0.0,0.818732601932209,12.420015095646615,0.8353561901155077,0.0,20.0,20.0,20.239047180093664,20.079682393364553,0.0,0.0,0.0,0.0,2023-01-02 12:00:00
37,0.2467298,0.1167298,3.3,13.32,0.06036605082682707,0.4408524422960147,0.0,0.4408524422960147,0.0,0.0,0.0,0.0,0.0,0.44085244229601467,0.44085244229601467,0.14695081409867156,0.4408524422960147,0.0,0.0,0.0,0.0,0.0,0.0,1.261019571784939,1.261019571784939,-1.261019571784939,0.0,0.05162189175474616,12.420015095646615,0.052670025257367775,0.0,20.251571562991867,20.251571562991867,20.168558136377204,20.22390042078698,0.0,0.0,0.0,0.0,2023-01-02 13:00:00
38,0.2583019,0.1283019,3.3,13.96,0.04395303108427809,6.992000000000001,0.0,6.992000000000001,0.0,0.0,0.0,1.2079999999999975,1.2079999999999975,4.576000000000006,6.992000000000001,2.330666666666667,6.992000000000001,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,-20.0,0.0,0.818732601932209,12.420015095646615,0.8353561901155077,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,2023-01-02 14:00:00
39,0.262114,0.132114,3.3,13.62,0.04560832041483229,6.992000000000001,0.0,6.992000000000001,0.0,0.0,0.0,1.275999999999999,5.716000000000002,0.0,6.992000000000001,2.330666666666667,6.992000000000001,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,-20.0,0.0,0.818732601932209,12.420015095646615,0.8353561901155077,0.0,20.0,20.0,20.61118392593706,20.20372797531235,0.0,0.0,0.0,0.0,2023-01-02 15:00:00
40,0.2715327,0.1415327,3.3,13.25,0.047325948626238463,6.992000000000001,0.0,6.992000000000001,0.0,0.0,0.0,6.992000000000001,0.0,0.0,6.992000000000001,2.330666666666667,6.992000000000001,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,-20.0,0.0,0.818732601932209,12.420015095646615,0.8353561901155077,0.0,20.0,20.80571752706667,20.357448816744526,20.387722114603733,0.0,0.0,0.0,0.0,2023-01-02 16:00:00
41,0.2792345,0.1492345,3.3,13.37,0.0491082634265342,6.992000000000001,0.0,6.992000000000001,0.0,0.0,0.0,0.0,0.0,6.992000000000001,6.992000000000001,2.330666666666667,6.992000000000001,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,-20.0,0.0,0.818732601932209,12.420015095646615,0.8353561901155077,0.0,21.023841956691474,20.531493471160253,20.099494038168835,20.551609822006856,0.0,0.0,0.0,0.0,2023-01-02 17:00:00
42,0.2865871,0.1565871,3.3,12.81,0.05095770093941289,6.992000000000001,0.0,6.992000000000001,0.0,0.0,0.0,0.7979317270668524,0.0,6.194068272933149,6.992000000000001,2.330666666666667,6.992000000000001,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,-20.0,0.0,0.818732601932209,12.420015095646615,0.8353561901155077,0.0,20.7460566137228,20.271577218471634,21.124080229673677,20.71390468728937,0.0,0.0,0.0,0.0,2023-01-02 18:00:00
43,0.28010749999999995,0.15010749999999998,3.3,12.45,0.052876789033993774,6.992000000000001,0.0,6.992000000000001,0.0,0.0,0.0,0.0,6.992000000000001,0.0,6.992000000000001,2.330666666666667,6.992000000000001,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,-20.0,0.0,0.818732601932209,12.420015095646615,0.8353561901155077,0.0,20.602827693904416,20.000769851602985,21.94635710779361,20.84998488443367,0.0,0.0,0.0,0.0,2023-01-02 19:00:00
44,0.2741614,0.1441614,3.3,11.85,0.054868150779992735,6.992000000000001,0.0,6.992000000000001,0.0,0.0,0.0,0.0,6.992000000000001,0.0,6.992000000000001,2.330666666666667,6.992000000000001,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,-20.0,0.0,0.818732601932209,12.420015095646615,0.8353561901155077,0.0,20.306932371015524,20.995549001781708,21.60170028954886,20.968060554115365,0.0,0.0,0.0,0.0,2023-01-02 20:00:00
45,0.2609209,0.13092089999999998,3.3,11.08,0.05693450803301611,6.992000000000001,0.0,6.992000000000001,0.0,0.0,0.0,3.8895004190928644,0.0,3.102499580907136,6.992000000000001,2.330666666666667,6.992000000000001,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,-20.0,0.0,0.818732601932209,12.420015095646615,0.0,0.0,20.0,21.932447903622617,21.247776152522253,21.060074685381622,0.0,0.0,0.0,0.0,2023-01-02 21:00:00
46,0.2473797,0.1173797,3.3,10.69,0.059078685154878234,6.992000000000001,0.0,6.992000000000001,0.0,0.0,0.0,6.56684500020753,0.4251549997924712,0.0,6.992000000000001,2.330666666666667,6.992000000000001,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,-20.0,0.0,0.818732601932209,11.593012467432263,0.0,0.0,20.38208076371832,21.538573692472767,21.441755251301156,21.12080323583075,0.0,0.0,0.0,0.0,2023-01-02 22:00:00
47,0.238737,0.108737,3.3,9.89,0.061303612874027504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.766009839217912,0.0,0.0,21.221992080200895,21.221992080200895,21.051535537215372,21.165173232539054,0.0,0.0,0.0,0.0,2023-01-02 23:00:00
48,0.2455949,0.1155949,3.3,9.41,0.06361233229135795,0.872375253574542,0.0,0.872375253574542,0.0,0.0,0.0,0.0,0.0,0.8723752535745419,0.8723752535745419,0.29079175119151396,0.872375253574542,0.0,0.0,0.0,0.0,0.0,0.0,2.4953525559912526,2.4953525559912526,-2.4953525559912526,0.0,0.10215132454524534,10.766009839217912,0.0,0.0,20.810713493011768,20.810713493011768,20.646443428597717,20.75595680487375,0.0,0.0,0.0,0.0,2023-01-03 00:00:00
49,0.2399786,0.1099786,3.3,9.46,0.06600799903688116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.662826683111604,0.0,0.0,20.396940759571,20.396940759571,20.396940759571,20.396940759571,0.0,0.0,0.0,0.0,2023-01-03 01:00:00
