Timestep,SolFlat,SolN,SolS,SolE,SolW,T_ext_C
2562,0.195,0.188,0.174,0.1,0.388,19.3
2563,0.07,0.114,0.043,0.043,0.289,18.8
2564,0.018,0.017,0.017,0.017,0.017,18.2
2565,0,0,0,0,0,17.8
2566,0,0,0,0,0,17.4
2567,0,0,0,0,0,17
2568,0,0,0,0,0,16.4
2569,0,0,0,0,0,15.7
2570,0,0,0,0,0,14.8
2571,0,0,0,0,0,14.4
2572,0,0,0,0,0,14
2573,0,0,0,0,0,13.7
2574,0,0,0,0,0,13.7
2575,0.022,0.021,0.02,0.036,0.015,13.8
2576,0.067,0.059,0.068,0.09,0.043,14.5
2577,0.111,0.096,0.108,0.117,0.087,15.2
2578,0.186,0.156,0.187,0.192,0.151,17.3
2579,0.326,0.246,0.36,0.342,0.264,19.5
2580,0.489,0.332,0.574,0.478,0.428,21.9
2581,0.562,0.375,0.661,0.486,0.55,23.6
2582,0.515,0.359,0.594,0.394,0.559,24
2583,0.431,0.325,0.472,0.298,0.498,24.1
2584,0.324,0.259,0.342,0.196,0.405,24
2585,0.21,0.181,0.205,0.138,0.266,24
2586,0.126,0.118,0.113,0.089,0.182,23.3
2587,0.045,0.073,0.03,0.03,0.173,22.3
2588,0.013,0.012,0.012,0.012,0.012,21.1
2589,0.001,0.001,0.001,0.001,0.001,19.3
2590,0,0,0,0,0,17.6
2591,0,0,0,0,0,15.9
2592,0,0,0,0,0,14.1
2593,0,0,0,0,0,12.5
2594,0,0,0,0,0,10.7
2595,0,0,0,0,0,9.8
2596,0,0,0,0,0,8.8
2597,0,0,0,0,0,8.2
2598,0,0,0,0,0,8.1
2599,0,0,0,0,0,9.5
2600,0.044,0.04,0.041,0.045,0.037,11.7
2601,0.136,0.11,0.144,0.169,0.085,13.9
2602,0.238,0.182,0.259,0.272,0.169,16.2
2603,0.24,0.197,0.246,0.238,0.204,18.3
2604,0.282,0.215,0.31,0.272,0.252,20
2605,0.304,0.231,0.335,0.271,0.295,21.4
2606,0.318,0.245,0.347,0.26,0.332,22.4
2607,0.309,0.243,0.333,0.226,0.35,22.9
2608,0.245,0.206,0.246,0.175,0.278,22.9
2609,0.19,0.165,0.185,0.127,0.238,22.3
2610,0.13,0.125,0.117,0.084,0.213,21
2611,0.057,0.094,0.035,0.035,0.225,19.3
2612,0.017,0.016,0.016,0.016,0.016,17.6
2613,0.001,0.001,0.001,0.001,0.001,16
2614,0,0,0,0,0,14.4
2615,0,0,0,0,0,12.7
2616,0,0,0,0,0,11
2617,0,0,0,0,0,10.1
2618,0,0,0,0,0,9.2
2619,0,0,0,0,0,8.7
2620,0,0,0,0,0,8.2
2621,0,0,0,0,0,7.9
2622,0,0,0,0,0,7.9
2623,0.017,0.017,0.016,0.025,0.013,9.7
2624,0.076,0.065,0.079,0.115,0.038,12.2
2625,0.17,0.131,0.187,0.229,0.089,14.8
2626,0.254,0.194,0.276,0.29,0.18,17.4
2627,0.289,0.234,0.298,0.289,0.244,19.8
2628,0.314,0.258,0.324,0.298,0.284,21.8
2629,0.319,0.26,0.329,0.286,0.303,23.4
2630,0.331,0.272,0.34,0.281,0.331,24.5
2631,0.321,0.26,0.331,0.246,0.344,25.1
2632,0.247,0.2,0.259,0.153,0.307,25.2
2633,0.208,0.177,0.209,0.112,0.299,24.6
2634,0.151,0.148,0.134,0.081,0.286,23.4
2635,0.072,0.114,0.045,0.045,0.262,21.8
2636,0.024,0.023,0.023,0.023,0.023,19.9
2637,0.001,0.001,0.001,0.001,0.001,18.1
2638,0,0,0,0,0,16.4
2639,0,0,0,0,0,14.6
2640,0,0,0,0,0,12.9
2641,0,0,0,0,0,11.2
2642,0,0,0,0,0,9.5
2643,0,0,0,0,0,8.5
2644,0,0,0,0,0,7.6
2645,0,0,0,0,0,6.9
2646,0,0,0,0,0,6.9
2647,0.058,0.06,0.052,0.148,0.015,8.3
2648,0.2,0.158,0.217,0.376,0.039,10.3
2649,0.371,0.254,0.433,0.571,0.115,12.5
2650,0.521,0.327,0.631,0.684,0.273,14.7
2651,0.527,0.334,0.638,0.592,0.381,16.7
2652,0.49,0.33,0.575,0.478,0.427,17.1
2653,0.465,0.318,0.543,0.404,0.457,17.4
2654,0.433,0.308,0.496,0.334,0.471,17.5
2655,0.394,0.298,0.429,0.271,0.456,17.5
2656,0.375,0.29,0.407,0.193,0.504,17.1
2657,0.308,0.254,0.315,0.123,0.495,16.4
2658,0.184,0.185,0.159,0.071,0.413,15.3
2659,0.072,0.11,0.045,0.045,0.245,14.1
2660,0.019,0.018,0.018,0.018,0.018,12.8
2661,0.002,0.002,0.002,0.002,0.002,11.1
2662,0,0,0,0,0,9.5
2663,0,0,0,0,0,7.8
2664,0,0,0,0,0,6.2
2665,0,0,0,0,0,5.4
2666,0,0,0,0,0,4.5
2667,0,0,0,0,0,4
2668,0,0,0,0,0,3.5
2669,0,0,0,0,0,3.1
2670,0,0,0,0,0,3.1
2671,0.074,0.075,0.064,0.191,0.016,4.8
